"Date","Price","Open","High","Low","Change %"
"Jul 19, 2019","1,425.38","1,443.05","1,445.32","1,420.35","-1.22%"
"Jul 18, 2019","1,443.05","1,424.88","1,453.01","1,414.82","1.29%"
"Jul 17, 2019","1,424.74","1,405.30","1,430.29","1,400.24","1.38%"
"Jul 16, 2019","1,405.35","1,415.55","1,416.34","1,401.24","-0.72%"
"Jul 15, 2019","1,415.56","1,416.34","1,418.30","1,407.88","-0.06%"
"Jul 14, 2019","1,416.34","1,415.90","1,419.84","1,412.95","0.06%"
"Jul 12, 2019","1,415.51","1,404.09","1,416.94","1,403.24","0.81%"
"Jul 11, 2019","1,404.09","1,422.06","1,427.06","1,401.19","-1.27%"
"Jul 10, 2019","1,422.11","1,395.38","1,422.59","1,390.02","1.91%"
"Jul 09, 2019","1,395.39","1,394.40","1,400.04","1,386.26","0.07%"
"Jul 08, 2019","1,394.44","1,395.76","1,407.66","1,391.82","-0.10%"
"Jul 07, 2019","1,395.77","1,398.94","1,401.61","1,392.85","-0.24%"
"Jul 05, 2019","1,399.07","1,421.05","1,421.44","1,386.81","-1.55%"
"Jul 04, 2019","1,421.04","1,418.54","1,424.24","1,410.37","0.18%"
"Jul 03, 2019","1,418.53","1,431.41","1,437.70","1,412.26","-0.89%"
"Jul 02, 2019","1,431.32","1,385.62","1,436.20","1,383.98","3.30%"
"Jul 01, 2019","1,385.63","1,392.06","1,397.08","1,381.91","-0.47%"
"Jun 30, 2019","1,392.16","1,397.81","1,397.83","1,384.49","-1.23%"
"Jun 28, 2019","1,409.50","1,411.17","1,424.70","1,405.82","-0.12%"
"Jun 27, 2019","1,411.17","1,410.83","1,412.13","1,398.90","0.02%"
"Jun 26, 2019","1,410.85","1,418.55","1,420.56","1,402.16","-0.55%"
"Jun 25, 2019","1,418.69","1,425.37","1,438.99","1,412.11","-0.47%"
"Jun 24, 2019","1,425.36","1,407.03","1,426.03","1,400.98","1.31%"
"Jun 23, 2019","1,406.97","1,400.46","1,410.03","1,399.89","0.54%"
"Jun 21, 2019","1,399.43","1,390.91","1,411.72","1,382.66","0.61%"
"Jun 20, 2019","1,390.94","1,358.12","1,393.31","1,358.04","2.42%"
"Jun 19, 2019","1,358.03","1,345.58","1,362.64","1,341.46","0.93%"
"Jun 18, 2019","1,345.58","1,339.78","1,354.58","1,338.71","0.43%"
"Jun 17, 2019","1,339.80","1,338.67","1,343.46","1,333.09","0.08%"
"Jun 16, 2019","1,338.67","1,342.06","1,342.56","1,338.65","-0.22%"
"Jun 14, 2019","1,341.57","1,344.48","1,358.13","1,338.05","-0.22%"
"Jun 13, 2019","1,344.57","1,333.66","1,344.67","1,332.47","0.82%"
"Jun 12, 2019","1,333.64","1,327.84","1,338.38","1,326.11","0.44%"
"Jun 11, 2019","1,327.84","1,329.38","1,329.92","1,319.95","-0.12%"
"Jun 10, 2019","1,329.38","1,335.12","1,337.79","1,325.18","-0.43%"
"Jun 09, 2019","1,335.12","1,336.91","1,336.91","1,333.41","-0.41%"
"Jun 07, 2019","1,340.58","1,333.51","1,348.34","1,330.35","0.53%"
"Jun 06, 2019","1,333.52","1,331.01","1,339.89","1,327.32","0.19%"
"Jun 05, 2019","1,330.99","1,325.50","1,344.08","1,325.40","0.42%"
"Jun 04, 2019","1,325.41","1,325.24","1,329.12","1,320.07","0.01%"
"Jun 03, 2019","1,325.24","1,309.44","1,328.03","1,308.60","1.21%"
"Jun 02, 2019","1,309.45","1,307.66","1,309.53","1,306.14","0.30%"
"May 31, 2019","1,305.51","1,290.57","1,307.02","1,290.49","1.16%"
"May 30, 2019","1,290.58","1,279.96","1,290.72","1,275.11","0.83%"
"May 29, 2019","1,279.96","1,279.95","1,285.59","1,279.19","-0.01%"
